date,month,day,year,station,site,bay,species,cpue,,,,
8/18/2024,8,18,2024,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
8/18/2024,8,18,2024,NA,laminaria #2,Anton Larsen,pink salmon,29,,,,
8/18/2024,8,18,2024,NA,Back Bay eelgrass,Anton Larsen,pink salmon,1,,,,
8/18/2024,8,18,2024,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/18/2024,8,18,2024,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/19/2024,8,19,2024,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
8/19/2024,8,19,2024,NA,Laminaria Point,Anton Larsen,pink salmon,1,,,,
8/19/2024,8,19,2024,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/19/2024,8,19,2024,NA,Wooden boat,Anton Larsen,pink salmon,5,,,,
8/19/2024,8,19,2024,NA,laminaria #2,Anton Larsen,pink salmon,0,,,,
8/19/2024,8,19,2024,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
8/19/2024,8,19,2024,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/19/2024,8,19,2024,NA,White rock,Anton Larsen,pink salmon,7,,,,
8/22/2021,8,22,2021,NA,Eelgrass patches,Anton Larsen,pink salmon,3,,,,
8/22/2021,8,22,2021,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
8/22/2021,8,22,2021,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/22/2021,8,22,2021,NA,Laminaria #2,Anton Larsen,pink salmon,0,,,,
8/22/2021,8,22,2021,NA,Wooden boat,Anton Larsen,pink salmon,5,,,,
8/22/2021,8,22,2021,NA,Back Bay eelgrass,Anton Larsen,pink salmon,13,,,,
8/22/2021,8,22,2021,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/22/2021,8,22,2021,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,Laminaria #2,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,Back Bay eelgrass,Anton Larsen,pink salmon,8,,,,
8/23/2021,8,23,2021,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/23/2021,8,23,2021,NA,White rock,Anton Larsen,pink salmon,0,,,,
7/12/2022,7,12,2022,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
7/12/2022,7,12,2022,NA,White rock,Anton Larsen,pink salmon,7,,,,
7/13/2022,7,13,2022,NA,Eelgrass patches,Anton Larsen,pink salmon,4,,,,
7/13/2022,7,13,2022,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
7/13/2022,7,13,2022,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
7/13/2022,7,13,2022,NA,Laminaria #2,Anton Larsen,pink salmon,10,,,,
7/13/2022,7,13,2022,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
7/13/2022,7,13,2022,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
7/13/2022,7,13,2022,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
7/13/2022,7,13,2022,NA,White rock,Anton Larsen,pink salmon,7,,,,
7/14/2022,7,14,2022,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
7/14/2022,7,14,2022,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
7/14/2022,7,14,2022,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
7/14/2022,7,14,2022,NA,Laminaria #2,Anton Larsen,pink salmon,1,,,,
7/14/2022,7,14,2022,NA,Wooden boat,Anton Larsen,pink salmon,47,,,,
7/14/2022,7,14,2022,NA,Back Bay eelgrass,Anton Larsen,pink salmon,2,,,,
8/26/2022,8,26,2022,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,laminaria #2,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/26/2022,8,26,2022,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Laminaria #2,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/29/2022,8,29,2022,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/5/2018,8,5,2018,71,BB-1,Balboa,pink salmon,0,,,,
8/5/2018,8,5,2018,72,BB-2,Balboa,pink salmon,0,,,,
8/5/2018,8,5,2018,73,BB-3,Balboa,pink salmon,0,,,,
8/5/2018,8,5,2018,74,BB-4,Balboa,pink salmon,0,,,,
8/5/2018,8,5,2018,75,BB-5,Balboa,pink salmon,0,,,,
8/5/2018,8,5,2018,76,BB-6,Balboa,pink salmon,3,,,,
7/17/2019,7,17,2019,152,BB-2,Balboa,pink salmon,2,,,,
7/17/2019,7,17,2019,153,BB-3,Balboa,pink salmon,0,,,,
7/17/2019,7,17,2019,154,BB-4,Balboa,pink salmon,0,,,,
7/17/2019,7,17,2019,155,BB-7,Balboa,pink salmon,0,,,,
7/17/2019,7,17,2019,156,BB-6,Balboa,pink salmon,0,,,,
7/17/2019,7,17,2019,157,BB-1,Balboa,pink salmon,0,,,,
7/17/2020,7,17,2020,229,BB-2,Balboa,pink salmon,0,,,,
7/17/2020,7,17,2020,230,BB-3,Balboa,pink salmon,0,,,,
7/17/2020,7,17,2020,231,BB-4,Balboa,pink salmon,3,,,,
7/17/2020,7,17,2020,232,BB-6,Balboa,pink salmon,5,,,,
7/17/2020,7,17,2020,233,BB-7,Balboa,pink salmon,2,,,,
7/13/2021,7,13,2021,299,BB-2,Balboa,pink salmon,39,,,,
7/13/2021,7,13,2021,300,BB-3,Balboa,pink salmon,0,,,,
7/13/2021,7,13,2021,301,BB-4,Balboa,pink salmon,55,,,,
7/13/2021,7,13,2021,302,BB-6,Balboa,pink salmon,0,,,,
7/13/2021,7,13,2021,303,BB-7,Balboa,pink salmon,4,,,,
7/12/2022,7,12,2022,402,BB-2,Balboa,pink salmon,0,,,,
7/12/2022,7,12,2022,403,BB-3,Balboa,pink salmon,2,,,,
7/12/2022,7,12,2022,404,BB-4,Balboa,pink salmon,0,,,,
7/12/2022,7,12,2022,405,BB-7,Balboa,pink salmon,1,,,,
7/21/2023,7,1,2023,520,BB-2,Balboa,pink salmon,0,,,,
7/21/2023,7,1,2023,521,BB-3,Balboa,pink salmon,0,,,,
7/21/2023,7,1,2023,522,BB-4,Balboa,pink salmon,4,,,,
7/21/2023,7,1,2023,523,BB-7,Balboa,pink salmon,0,,,,
7/21/2024,7,21,2024,582,BB-7,Balboa,pink salmon,0,,,,
7/21/2024,7,21,2024,583,BB-4,Balboa,pink salmon,1,,,,
7/21/2024,7,21,2024,584,BB-3,Balboa,pink salmon,0,,,,
7/21/2024,7,21,2024,585,BB-2,Balboa,pink salmon,0,,,,
8/1/2018,8,1,2018,65,Bar-1,Baralof,pink salmon,22,,,,
8/1/2018,8,1,2018,66,Bar-2,Baralof,pink salmon,0,,,,
8/1/2018,8,1,2018,67,Bar-3,Baralof,pink salmon,0,,,,
8/1/2018,8,1,2018,68,Bar-4,Baralof,pink salmon,0,,,,
8/1/2018,8,1,2018,69,Bar-5,Baralof,pink salmon,2,,,,
8/1/2018,8,1,2018,70,Bar-6,Baralof,pink salmon,4,,,,
7/25/2019,7,25,2019,165,Bar-1,Baralof,pink salmon,0,,,,
7/25/2019,7,25,2019,166,Bar-3,Baralof,pink salmon,1,,,,
7/25/2019,7,25,2019,167,Bar-2,Baralof,pink salmon,5,,,,
7/25/2019,7,25,2019,168,Bar-6,Baralof,pink salmon,1,,,,
7/25/2019,7,25,2019,169,Bar-4,Baralof,pink salmon,0,,,,
7/25/2019,7,25,2019,170,Bar-5,Baralof,pink salmon,0,,,,
7/23/2020,7,23,2020,241,Bar-2,Baralof,pink salmon,0,,,,
7/23/2020,7,23,2020,242,Bar-3,Baralof,pink salmon,44,,,,
7/23/2020,7,23,2020,243,Bar-4,Baralof,pink salmon,0,,,,
7/23/2020,7,23,2020,244,Bar-5,Baralof,pink salmon,37,,,,
7/23/2020,7,23,2020,245,Bar-1,Baralof,pink salmon,0,,,,
7/23/2020,7,23,2020,246,Bar-6,Baralof,pink salmon,0,,,,
7/15/2021,7,15,2021,304,Bar-1,Baralof,pink salmon,0,,,,
7/15/2021,7,15,2021,305,Bar-2,Baralof,pink salmon,8,,,,
7/15/2021,7,15,2021,306,Bar-3,Baralof,pink salmon,0,,,,
7/15/2021,7,15,2021,307,Bar-4,Baralof,pink salmon,0,,,,
7/15/2021,7,15,2021,308,Bar-5,Baralof,pink salmon,0,,,,
7/15/2021,7,15,2021,309,Bar-6,Baralof,pink salmon,0,,,,
7/15/2022,7,15,2022,411,Bar-5,Baralof,pink salmon,6,,,,
7/15/2022,7,15,2022,412,Bar-4,Baralof,pink salmon,0,,,,
7/15/2022,7,15,2022,413,Bar-3,Baralof,pink salmon,0,,,,
7/15/2022,7,15,2022,414,Bar-2,Baralof,pink salmon,0,,,,
7/15/2022,7,15,2022,415,Bar-1,Baralof,pink salmon,2,,,,
7/17/2023,7,1,2023,509,Bar-5,Baralof,pink salmon,0,,,,
7/17/2023,7,1,2023,510,Bar-4,Baralof,pink salmon,0,,,,
7/17/2023,7,1,2023,511,Bar-3,Baralof,pink salmon,0,,,,
7/17/2023,7,1,2023,512,Bar-2,Baralof,pink salmon,1,,,,
7/17/2023,7,1,2023,513,Bar-1,Baralof,pink salmon,0,,,,
7/17/2023,7,1,2023,514,Bar-6,Baralof,pink salmon,0,,,,
7/18/2024,7,18,2024,571,Bar-5,Baralof,pink salmon,0,,,,
7/18/2024,7,18,2024,572,Bar-4,Baralof,pink salmon,0,,,,
7/18/2024,7,18,2024,573,Bar-3,Baralof,pink salmon,6,,,,
7/18/2024,7,18,2024,574,Bar-2,Baralof,pink salmon,0,,,,
7/18/2024,7,18,2024,575,Bar-1,Baralof,pink salmon,0,,,,
7/24/2021,7,24,2021,317,Sanak-1,Caton Harbor,pink salmon,0,,,,
7/24/2021,7,24,2021,318,Sanak-2,Caton Harbor,pink salmon,0,,,,
7/24/2021,7,24,2021,319,Sanak-3,Caton Harbor,pink salmon,0,,,,
5/22/2022,5,22,2022,359,CH-1,Chief Cove,pink salmon,0,,,,
5/22/2022,5,22,2022,360,CH-2,Chief Cove,pink salmon,1080,,,,
5/22/2022,5,22,2022,361,CH-3,Chief Cove,pink salmon,0,,,,
5/22/2022,5,22,2022,362,CH-4,Chief Cove,pink salmon,88,,,,
5/22/2022,5,22,2022,363,CH-5,Chief Cove,pink salmon,2,,,,
7/2/2022,7,2,2022,376,CH-1,Chief Cove,pink salmon,2,,,,
7/2/2022,7,2,2022,377,CH-4,Chief Cove,pink salmon,0,,,,
7/2/2022,7,2,2022,378,CH-5,Chief Cove,pink salmon,0,,,,
7/2/2022,7,2,2022,379,CH-3,Chief Cove,pink salmon,0,,,,
7/2/2022,7,2,2022,380,CH-2,Chief Cove,pink salmon,3,,,,
5/11/2023,5,11,2023,453,CH-1,Chief Cove,pink salmon,2,,,,
5/11/2023,5,11,2023,454,CH-2,Chief Cove,pink salmon,1,,,,
5/11/2023,5,11,2023,455,CH-4,Chief Cove,pink salmon,2113,,,,
5/11/2023,5,11,2023,456,CH-3,Chief Cove,pink salmon,1,,,,
5/11/2023,5,11,2023,457,CH-5,Chief Cove,pink salmon,0,,,,
7/2/2020,7,2,2020,203,Laminaria North,Cook,pink salmon,2,,,,
7/2/2020,7,2,2020,204,Eelgrass West,Cook,pink salmon,1,,,,
7/2/2020,7,2,2020,205,Laminaria East,Cook,pink salmon,0,,,,
7/2/2020,7,2,2020,206,Eelgrass South,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Eelgrass North,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Laminaria South,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Eelgrass South,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Laminaria East,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Laminaria North,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Eelgrass West,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Bare North,Cook,pink salmon,0,,,,
8/20/2021,8,20,2021,NA,Middle cove,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Eelgrass North,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Laminaria South,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Eelgrass South,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Laminaria East,Cook,pink salmon,1,,,,
8/21/2021,8,21,2021,NA,Laminaria North,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Eelgrass West,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Bare North,Cook,pink salmon,0,,,,
8/21/2021,8,21,2021,NA,Middle cove,Cook,pink salmon,4,,,,
5/19/2022,5,19,2022,353,Lam South,Cook,pink salmon,2,,,,
5/19/2022,5,19,2022,354,EG South,Cook,pink salmon,3,,,,
5/19/2022,5,19,2022,355,Laminaria East,Cook,pink salmon,0,,,,
5/19/2022,5,19,2022,356,EG West,Cook,pink salmon,599,,,,
5/19/2022,5,19,2022,357,Laminaria North,Cook,pink salmon,0,,,,
5/19/2022,5,19,2022,358,Eelgrass North,Cook,pink salmon,0,,,,
6/12/2022,6,12,2022,371,Eelgrass West,Cook,pink salmon,0,,,,
6/12/2022,6,12,2022,372,Lam North,Cook,pink salmon,2,,,,
6/12/2022,6,12,2022,373,Laminaria East,Cook,pink salmon,0,,,,
6/12/2022,6,12,2022,374,Eelgrass South,Cook,pink salmon,0,,,,
6/12/2022,6,12,2022,375,Lam South,Cook,pink salmon,3,,,,
7/15/2022,7,15,2022,NA,Eelgrass West,Cook,pink salmon,0,,,,
7/15/2022,7,15,2022,NA,Laminaria South,Cook,pink salmon,0,,,,
7/15/2022,7,15,2022,NA,Eelgrass South,Cook,pink salmon,0,,,,
7/15/2022,7,15,2022,NA,Laminaria East,Cook,pink salmon,0,,,,
7/15/2022,7,15,2022,NA,Bare North,Cook,pink salmon,0,,,,
7/15/2022,7,15,2022,NA,Middle Cove,Cook,pink salmon,0,,,,
7/16/2022,7,16,2022,NA,Eelgrass North,Cook,pink salmon,0,,,,
7/16/2022,7,16,2022,NA,Eelgrass West,Cook,pink salmon,0,,,,
7/16/2022,7,16,2022,NA,Eelgrass South,Cook,pink salmon,0,,,,
7/16/2022,7,16,2022,NA,Laminaria North,Cook,pink salmon,0,,,,
7/16/2022,7,16,2022,NA,Laminaria East,Cook,pink salmon,0,,,,
7/16/2022,7,16,2022,NA,Middle Cove,Cook,pink salmon,2,,,,
7/16/2022,7,16,2022,NA,Bare North,Cook,pink salmon,0,,,,
7/17/2022,7,17,2022,NA,Eelgrass North,Cook,pink salmon,1,,,,
7/17/2022,7,17,2022,NA,Laminaria North,Cook,pink salmon,0,,,,
7/17/2022,7,17,2022,NA,Laminaria South,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Eelgrass North,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Laminaria South,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Eelgrass South,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Laminaria East,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Laminaria North,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Eelgrass West,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Bare North,Cook,pink salmon,0,,,,
8/27/2022,8,27,2022,NA,Middle cove,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Eelgrass North,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Laminaria North,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Eelgrass West,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Laminaria East,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Eelgrass South,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Laminaria South,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Bare North,Cook,pink salmon,0,,,,
8/28/2022,8,28,2022,NA,Middle cove,Cook,pink salmon,0,,,,
5/8/2023,5,8,2023,442,EG West,Cook,pink salmon,0,,,,
5/8/2023,5,8,2023,443,Eelgrass North,Cook,pink salmon,0,,,,
5/8/2023,5,8,2023,444,Laminaria North,Cook,pink salmon,3,,,,
5/8/2023,5,8,2023,445,Laminaria East,Cook,pink salmon,0,,,,
5/8/2023,5,8,2023,446,EG South,Cook,pink salmon,1,,,,
5/8/2023,5,8,2023,447,Lam South,Cook,pink salmon,0,,,,
6/5/2023,6,5,2023,464,EG South,Cook,pink salmon,0,,,,
6/5/2023,6,5,2023,465,Lam South,Cook,pink salmon,0,,,,
6/5/2023,6,5,2023,466,Laminaria East,Cook,pink salmon,0,,,,
6/5/2023,6,5,2023,467,EG West,Cook,pink salmon,2,,,,
6/5/2023,6,5,2023,468,Laminaria North,Cook,pink salmon,8,,,,
6/5/2023,6,5,2023,469,Eelgrass North,Cook,pink salmon,0,,,,
6/29/2023,6,29,2023,470,Eelgrass South,Cook,pink salmon,0,,,,
6/29/2023,6,29,2023,471,Laminaria South,Cook,pink salmon,0,,,,
6/29/2023,6,29,2023,472,Eelgrass West,Cook,pink salmon,4,,,,
7/14/2023,7,14,2023,NA,Bare North,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Eelgrass North,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Eelgrass South,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Eelgrass West,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Laminaria East,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Laminaria North,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Laminaria South,Cook,pink salmon,0,,,,
7/14/2023,7,14,2023,NA,Middle Cove,Cook,pink salmon,0,,,,
7/16/2023,7,16,2023,NA,Bare North,Cook,pink salmon,0,,,,
7/16/2023,7,16,2023,NA,Eelgrass North,Cook,pink salmon,0,,,,
7/16/2023,7,16,2023,NA,Eelgrass South,Cook,pink salmon,0,,,,
