date,month,day,year,J_Date,site,baysite,bay,species,length
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,69
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,69
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,69
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,69
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,69
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,70
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,71
7/7/2018,July,7,2018,188,12,Kilu-6,Kiliuda,pink salmon,73
7/9/2018,July,9,2018,190,15,Kai-2,Kaiugnak,pink salmon,51
7/9/2018,July,9,2018,190,15,Kai-2,Kaiugnak,pink salmon,55
7/9/2018,July,9,2018,190,16,Kai-3,Kaiugnak,pink salmon,58
7/9/2018,July,9,2018,190,15,Kai-2,Kaiugnak,pink salmon,64
7/9/2018,July,9,2018,190,15,Kai-2,Kaiugnak,pink salmon,66
7/9/2018,July,9,2018,190,16,Kai-3,Kaiugnak,pink salmon,67
7/9/2018,July,9,2018,190,16,Kai-3,Kaiugnak,pink salmon,78
7/9/2018,July,9,2018,190,15,Kai-2,Kaiugnak,pink salmon,89
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,58
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,58
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,59
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,62
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,62
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,63
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,64
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,66
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,67
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,68
7/11/2018,July,11,2018,192,24,Jap-5,Japanese ,pink salmon,68
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,69
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,69
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,72
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,72
7/11/2018,July,11,2018,192,23,Jap-4,Japanese ,pink salmon,72
7/11/2018,July,11,2018,192,25,Jap-6,Japanese ,pink salmon,77
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,53
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,58
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,58
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,58
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,58
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,58
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,58
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,59
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,60
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,60
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,61
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,61
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,62
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,62
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,62
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,62
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,63
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,63
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,63
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,64
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,64
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,64
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,64
7/14/2018,July,14,2018,195,29,RR-4,Rodman Reach,pink salmon,64
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,65
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,65
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,66
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,66
7/14/2018,July,14,2018,195,28,RR-3,Rodman Reach,pink salmon,66
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,67
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,67
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,67
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,68
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,68
7/14/2018,July,14,2018,195,27,RR-2,Rodman Reach,pink salmon,68
7/14/2018,July,14,2018,195,28,RR-3,Rodman Reach,pink salmon,68
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,68
7/14/2018,July,14,2018,195,30,RR-5,Rodman Reach,pink salmon,74
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,47
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,48
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,51
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,51
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,51
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,51
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,54
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,54
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,54
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,54
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,55
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,55
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,57
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,57
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,57
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,57
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,57
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,58
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,59
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,59
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,59
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,60
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,60
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,61
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,61
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,62
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,62
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,62
7/16/2018,July,16,2018,197,36,AG-5,Agripina,pink salmon,62
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,62
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,62
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,63
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,64
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,64
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,64
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,64
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,64
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,64
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,65
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,65
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,65
7/16/2018,July,16,2018,197,32,AG-1,Agripina,pink salmon,66
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,66
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,66
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,66
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,67
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,68
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,68
7/16/2018,July,16,2018,197,33,AG-2,Agripina,pink salmon,70
7/16/2018,July,16,2018,197,37,AG-6,Agripina,pink salmon,73
7/17/2018,July,17,2018,198,41,PW-4,Port Wrangell,pink salmon,58
7/17/2018,July,17,2018,198,41,PW-4,Port Wrangell,pink salmon,60
7/17/2018,July,17,2018,198,38,PW-1,Port Wrangell,pink salmon,60
7/17/2018,July,17,2018,198,41,PW-4,Port Wrangell,pink salmon,64
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,76
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,86
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,87
7/19/2018,July,19,2018,200,43,Kuj-2,Kujulik,pink salmon,93
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,94
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,96
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,96
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,96
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,97
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,98
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,99
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,101
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,102
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,104
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,105
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,105
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,105
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,107
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,108
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,109
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,109
7/19/2018,July,19,2018,200,42,Kuj-1,Kujulik,pink salmon,110
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,110
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,112
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,114
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,115
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,116
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,116
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,117
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,117
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,119
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,120
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,122
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,123
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,124
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,125
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,126
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,127
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,128
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,128
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,130
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,130
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,130
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,132
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,133
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,134
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,140
7/19/2018,July,19,2018,200,45,Kuj-4,Kujulik,pink salmon,141
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,151
7/19/2018,July,19,2018,200,44,Kuj-3,Kujulik,pink salmon,190
7/22/2018,July,22,2018,203,46,Mit-1,Mitrofania,pink salmon,63
7/22/2018,July,22,2018,203,49,Mit-4,Mitrofania,pink salmon,63
7/22/2018,July,22,2018,203,49,Mit-4,Mitrofania,pink salmon,64
7/22/2018,July,22,2018,203,49,Mit-4,Mitrofania,pink salmon,64
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,65
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,65
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,65
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,66
7/22/2018,July,22,2018,203,51,Mit-6,Mitrofania,pink salmon,67
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,68
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,69
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,69
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,69
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,70
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,71
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,71
7/22/2018,July,22,2018,203,49,Mit-4,Mitrofania,pink salmon,73
7/22/2018,July,22,2018,203,46,Mit-1,Mitrofania,pink salmon,74
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,75
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,75
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,77
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,78
7/22/2018,July,22,2018,203,49,Mit-4,Mitrofania,pink salmon,79
7/22/2018,July,22,2018,203,50,Mit-5,Mitrofania,pink salmon,79
7/24/2018,July,24,2018,205,55,Fox-4,Fox,pink salmon,58
7/24/2018,July,24,2018,205,56,Fox-5,Fox,pink salmon,125
7/24/2018,July,24,2018,205,56,Fox-5,Fox,pink salmon,128
7/24/2018,July,24,2018,205,55,Fox-4,Fox,pink salmon,129
7/30/2018,July,30,2018,211,63,Fal-4,Falmouth Bay,pink salmon,68
8/1/2018,Aug,1,2018,213,70,Bar-6,Baralof Bay,pink salmon,48
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,56
8/1/2018,Aug,1,2018,213,70,Bar-6,Baralof Bay,pink salmon,56
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,58
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,62
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,62
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,63
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,64
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,64
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,65
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,66
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,66
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,66
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,66
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,66
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,67
8/1/2018,Aug,1,2018,213,70,Bar-6,Baralof Bay,pink salmon,67
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,68
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,68
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,69
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,70
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,70
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,74
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,76
8/1/2018,Aug,1,2018,213,65,Bar-1,Baralof Bay,pink salmon,76
8/1/2018,Aug,1,2018,213,70,Bar-6,Baralof Bay,pink salmon,79
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,78
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,78
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,79
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,80
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,82
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,87
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,88
8/9/2018,Aug,9,2018,221,84,Mit-3,Mitrofania,pink salmon,89
8/9/2018,Aug,9,2018,221,83,Mit-2,Mitrofania,pink salmon,199
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,73
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,74
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,79
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,81
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,81
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,82
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,83
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,85
8/14/2018,Aug,14,2018,226,88,PW-3,Port Wrangell,pink salmon,92
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,60
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,62
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,64
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,66
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,66
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,68
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,68
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,68
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,69
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,70
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,71
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,71
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,73
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,74
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,75
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,76
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,77
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,78
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,78
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,80
8/15/2018,Aug,15,2018,227,95,AG-3,Agripina,pink salmon,80
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,82
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,84
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,87
8/15/2018,Aug,15,2018,227,96,AG-5,Agripina,pink salmon,95
8/15/2018,Aug,15,2018,227,92,AG-1,Agripina,pink salmon,97
8/17/2018,Aug,17,2018,229,98,RR-1,Rodman Reach,pink salmon,85
8/17/2018,Aug,17,2018,229,98,RR-1,Rodman Reach,pink salmon,86
